epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,201.81,0.79039,0.53572,1.16798,0.94515,0.95737,0.98794,0.83405,0.77745,0.48502,1.14644,0.0011882,0.0011882,0.0011882
43,206.561,0.77403,0.51278,1.14662,0.95961,0.98148,0.99229,0.8398,0.73174,0.40011,1.11193,0.0011684,0.0011684,0.0011684
44,211.291,0.78382,0.51346,1.15751,0.95564,0.99729,0.98939,0.8129,0.79132,0.42143,1.10895,0.0011486,0.0011486,0.0011486
45,216.022,0.77494,0.51387,1.14737,0.96523,0.96296,0.99178,0.85412,0.70108,0.41898,1.07888,0.0011288,0.0011288,0.0011288
46,221.002,0.74279,0.49444,1.13162,0.95348,0.97222,0.99038,0.83342,0.73132,0.41328,1.12051,0.001109,0.001109,0.001109
47,225.733,0.74651,0.5056,1.13674,0.96384,0.98731,0.99141,0.84783,0.69924,0.38567,1.08531,0.0010892,0.0010892,0.0010892
48,230.465,0.76764,0.50806,1.14638,0.96254,0.95172,0.98953,0.83016,0.73927,0.42902,1.1146,0.0010694,0.0010694,0.0010694
49,235.207,0.72728,0.48357,1.12037,0.96427,0.99964,0.99303,0.84008,0.72997,0.39652,1.11173,0.0010496,0.0010496,0.0010496
50,239.945,0.748,0.49194,1.1416,0.97067,0.96296,0.99113,0.83895,0.7502,0.44684,1.10439,0.0010298,0.0010298,0.0010298
51,244.651,0.73611,0.49052,1.13508,0.92956,0.97758,0.98705,0.81464,0.76265,0.47973,1.15304,0.00101,0.00101,0.00101
52,249.383,0.71043,0.46548,1.11819,0.94731,0.99888,0.9909,0.84761,0.71886,0.41263,1.08636,0.0009902,0.0009902,0.0009902
53,254.114,0.72177,0.47512,1.12064,0.94625,0.97811,0.99157,0.84106,0.69731,0.36796,1.08941,0.0009704,0.0009704,0.0009704
54,258.849,0.73323,0.48074,1.12851,0.94677,0.98809,0.99201,0.84682,0.70439,0.43412,1.09531,0.0009506,0.0009506,0.0009506
55,263.586,0.72679,0.47712,1.12067,0.96341,0.97528,0.99192,0.83484,0.75557,0.42944,1.15675,0.0009308,0.0009308,0.0009308
56,268.3,0.72026,0.48042,1.12316,0.97186,0.98148,0.99295,0.85118,0.72489,0.41887,1.10028,0.000911,0.000911,0.000911
57,273.019,0.72009,0.46552,1.12405,0.98146,0.98012,0.99274,0.8548,0.72614,0.38916,1.10395,0.0008912,0.0008912,0.0008912
58,277.94,0.6992,0.45676,1.10479,0.93819,0.97222,0.99067,0.83831,0.77904,0.41058,1.14702,0.0008714,0.0008714,0.0008714
59,282.668,0.70905,0.46052,1.1133,0.9797,0.98148,0.99371,0.85988,0.69906,0.40604,1.06719,0.0008516,0.0008516,0.0008516
60,287.602,0.69519,0.44945,1.10999,0.97247,0.98137,0.9928,0.85124,0.6175,0.37534,1.00582,0.0008318,0.0008318,0.0008318
61,292.336,0.71149,0.46123,1.11878,0.98864,1,0.99472,0.86458,0.68487,0.36513,1.05628,0.000812,0.000812,0.000812
62,297.294,0.72031,0.46356,1.12689,0.98118,0.9653,0.99219,0.86082,0.62264,0.36222,1.00909,0.0007922,0.0007922,0.0007922
63,302.035,0.70202,0.44698,1.11127,0.93888,0.96296,0.98939,0.85249,0.66671,0.41713,1.03369,0.0007724,0.0007724,0.0007724
64,306.762,0.68797,0.44065,1.10652,0.97893,0.97222,0.99238,0.85601,0.67654,0.39445,1.05009,0.0007526,0.0007526,0.0007526
65,311.505,0.68826,0.44664,1.10714,0.99377,0.97222,0.99445,0.84861,0.69263,0.40299,1.0526,0.0007328,0.0007328,0.0007328
66,316.236,0.66631,0.43396,1.09614,0.99053,0.96804,0.99347,0.864,0.69642,0.40451,1.04998,0.000713,0.000713,0.000713
67,320.996,0.67621,0.43635,1.09108,0.99063,0.9794,0.9938,0.85988,0.64712,0.37667,1.00864,0.0006932,0.0006932,0.0006932
68,325.73,0.67058,0.42981,1.08861,0.97138,1,0.99204,0.85067,0.69502,0.36833,1.05572,0.0006734,0.0006734,0.0006734
69,330.472,0.6774,0.43756,1.09175,0.99775,0.98148,0.99455,0.85836,0.6577,0.36222,1.05724,0.0006536,0.0006536,0.0006536
70,335.207,0.66542,0.4325,1.09079,0.98844,1,0.99482,0.85743,0.6507,0.34716,1.04205,0.0006338,0.0006338,0.0006338
71,339.947,0.66039,0.43244,1.08713,0.97297,0.99988,0.99322,0.8652,0.63439,0.35086,1.0152,0.000614,0.000614,0.000614
72,344.877,0.64956,0.42263,1.08285,0.99878,0.96296,0.99436,0.86818,0.63223,0.37047,1.02346,0.0005942,0.0005942,0.0005942
73,349.83,0.65278,0.42197,1.08648,0.98164,0.99009,0.9937,0.8716,0.59795,0.35952,1.00024,0.0005744,0.0005744,0.0005744
74,354.759,0.64033,0.41899,1.07189,0.96539,0.99074,0.99341,0.86561,0.61698,0.36909,1.00091,0.0005546,0.0005546,0.0005546
75,359.5,0.643,0.41642,1.08361,0.98015,0.99074,0.9937,0.85837,0.64241,0.35508,1.03638,0.0005348,0.0005348,0.0005348
76,364.239,0.63977,0.42181,1.08268,0.97118,1,0.99266,0.87468,0.59047,0.33249,0.99007,0.000515,0.000515,0.000515
77,369.179,0.63667,0.41495,1.07867,0.99077,0.99357,0.995,0.85748,0.65348,0.35487,1.03501,0.0004952,0.0004952,0.0004952
78,373.897,0.63626,0.41104,1.07445,0.96786,0.97222,0.99336,0.86802,0.63904,0.37375,1.00741,0.0004754,0.0004754,0.0004754
79,378.615,0.62633,0.40681,1.07108,0.98803,0.98148,0.99455,0.87119,0.63078,0.32283,1.02612,0.0004556,0.0004556,0.0004556
80,383.364,0.63327,0.40279,1.06661,0.99888,0.99074,0.995,0.86702,0.63164,0.35116,1.01478,0.0004358,0.0004358,0.0004358
81,388.086,0.6259,0.40487,1.07412,0.99082,0.99915,0.99454,0.87732,0.59896,0.34158,0.98865,0.000416,0.000416,0.000416
82,393.014,0.62097,0.40247,1.07403,0.97777,0.99074,0.99325,0.86315,0.59949,0.33441,1.00702,0.0003962,0.0003962,0.0003962
83,397.749,0.6246,0.4049,1.06768,0.96305,1,0.99408,0.86431,0.62838,0.36117,1.02796,0.0003764,0.0003764,0.0003764
